approach,[sound:audio_approach.mp3],acercarse,They will approach the problem soon.,Se acercarán al problema pronto.,[sound:audio_example_approach.mp3]
appropriate,[sound:audio_appropriate.mp3],apropiado,This is the appropriate solution.,Esta es la solución apropiada.,[sound:audio_example_appropriate.mp3]
approve,[sound:audio_approve.mp3],aprobar,They approve the new plan.,Aproban el nuevo plan.,[sound:audio_example_approve.mp3]
approximate,[sound:audio_approximate.mp3],aproximado,The approximate cost is $100.,El costo aproximado es de $ 100.,[sound:audio_example_approximate.mp3]
arbitrate,[sound:audio_arbitrate.mp3],arbitrar,They agreed to arbitrate the dispute.,Acordaron arbitrar la disputa.,[sound:audio_example_arbitrate.mp3]
area,[sound:audio_area.mp3],área,The park covers a large area.,El parque cubre una gran área.,[sound:audio_example_area.mp3]
argue,[sound:audio_argue.mp3],argumentar,They sometimes argue over small details.,A veces discuten sobre pequeños detalles.,[sound:audio_example_argue.mp3]
argument,[sound:audio_argument.mp3],argumento,Her argument was clear and brief.,Su argumento fue claro y breve.,[sound:audio_example_argument.mp3]
arrange,[sound:audio_arrange.mp3],arreglar,She will arrange the meeting.,Ella organizará la reunión.,[sound:audio_example_arrange.mp3]
arrangement,[sound:audio_arrangement.mp3],acuerdo,The arrangement is acceptable.,El acuerdo es aceptable.,[sound:audio_example_arrangement.mp3]
assemble,[sound:audio_assemble.mp3],armar,They assemble the furniture easily.,Ensamblan los muebles fácilmente.,[sound:audio_example_assemble.mp3]
assess,[sound:audio_assess.mp3],evaluar,He will assess the situation.,Evaluará la situación.,[sound:audio_example_assess.mp3]
assets,[sound:audio_assets.mp3],activos,The company has valuable assets.,La compañía tiene activos valiosos.,[sound:audio_example_assets.mp3]
assign,[sound:audio_assign.mp3],asignar,The teacher will assign homework.,El maestro asignará la tarea.,[sound:audio_example_assign.mp3]
assignment,[sound:audio_assignment.mp3],asignación,The assignment is due tomorrow.,La tarea se debe mañana.,[sound:audio_example_assignment.mp3]
assist,[sound:audio_assist.mp3],asistir,He will assist with the work.,Él ayudará con el trabajo.,[sound:audio_example_assist.mp3]
assistance,[sound:audio_assistance.mp3],asistencia,They need assistance right away.,Necesitan ayuda de inmediato.,[sound:audio_example_assistance.mp3]
assume,[sound:audio_assume.mp3],asumir,Do not assume without proof.,No asuma sin prueba.,[sound:audio_example_assume.mp3]
attach,[sound:audio_attach.mp3],adjuntar,Please attach the file.,Adjunte el archivo.,[sound:audio_example_attach.mp3]
attachment,[sound:audio_attachment.mp3],adjunto,The email included an attachment.,El correo electrónico incluía un archivo adjunto.,[sound:audio_example_attachment.mp3]
attend,[sound:audio_attend.mp3],asistir,She will attend the seminar.,Ella asistirá al seminario.,[sound:audio_example_attend.mp3]
attendance,[sound:audio_attendance.mp3],asistencia,Attendance is mandatory.,La asistencia es obligatoria.,[sound:audio_example_attendance.mp3]
attentively,[sound:audio_attentively.mp3],atentamente,He listened attentively.,Escuchó atentamente.,[sound:audio_example_attentively.mp3]
attract,[sound:audio_attract.mp3],atraer,The sale will attract shoppers.,La venta atraerá a los compradores.,[sound:audio_example_attract.mp3]
audience,[sound:audio_audience.mp3],audiencia,The audience clapped quickly.,El público aplaudió rápidamente.,[sound:audio_example_audience.mp3]
audit,[sound:audio_audit.mp3],auditoría,The firm will audit the records.,La firma auditará los registros.,[sound:audio_example_audit.mp3]
authority,[sound:audio_authority.mp3],autoridad,He has the authority to decide.,Tiene la autoridad para decidir.,[sound:audio_example_authority.mp3]
authorize,[sound:audio_authorize.mp3],autorizar,The manager will authorize the expense.,El gerente autorizará el gasto.,[sound:audio_example_authorize.mp3]
availability,[sound:audio_availability.mp3],disponibilidad,Check the availability of seats.,Verifique la disponibilidad de asientos.,[sound:audio_example_availability.mp3]
available,[sound:audio_available.mp3],disponible,The product is available now.,El producto está disponible ahora.,[sound:audio_example_available.mp3]
avoid,[sound:audio_avoid.mp3],evitar,Try to avoid mistakes.,Trate de evitar errores.,[sound:audio_example_avoid.mp3]
awareness,[sound:audio_awareness.mp3],conciencia,Raise awareness about the issue.,Sengar conciencia sobre el problema.,[sound:audio_example_awareness.mp3]
awkward,[sound:audio_awkward.mp3],incómodo,The silence felt awkward.,El silencio se sintió incómodo.,[sound:audio_example_awkward.mp3]
background,[sound:audio_background.mp3],fondo,Her background is in engineering.,Su experiencia es en ingeniería.,[sound:audio_example_background.mp3]
backpack,[sound:audio_backpack.mp3],mochila,He carries his books in a backpack.,Lleva sus libros en una mochila.,[sound:audio_example_backpack.mp3]
baggage claim,[sound:audio_baggageclaim.mp3],reclamación de equipaje,Proceed to the baggage claim.,Proceda al reclamo de equipaje.,[sound:audio_example_baggage claim.mp3]
balance,[sound:audio_balance.mp3],balance,Maintain a balance in your work.,Mantener un equilibrio en su trabajo.,[sound:audio_example_balance.mp3]
bank,[sound:audio_bank.mp3],banco,She deposited money at the bank.,Ella depositó dinero en el banco.,[sound:audio_example_bank.mp3]
bankrupt,[sound:audio_bankrupt.mp3],en bancarrota,The company went bankrupt.,La compañía se declaró en quiebra.,[sound:audio_example_bankrupt.mp3]
barcode,[sound:audio_barcode.mp3],código de barras,Scan the barcode for details.,Escanee el código de barras para más detalles.,[sound:audio_example_barcode.mp3]
bargain,[sound:audio_bargain.mp3],negociar,They found a great bargain.,Encontraron una gran ganga.,[sound:audio_example_bargain.mp3]
basic,[sound:audio_basic.mp3],básico,Start with the basic steps.,Comience con los pasos básicos.,[sound:audio_example_basic.mp3]
behave,[sound:audio_behave.mp3],comportarse,Please behave during class.,"Por favor, comportes durante la clase.",[sound:audio_example_behave.mp3]
belongings,[sound:audio_belongings.mp3],pertenencias,Collect your belongings after the show.,Recoge tus pertenencias después del espectáculo.,[sound:audio_example_belongings.mp3]
beneficial,[sound:audio_beneficial.mp3],beneficioso,Exercise is beneficial for health.,El ejercicio es beneficioso para la salud.,[sound:audio_example_beneficial.mp3]
benefit,[sound:audio_benefit.mp3],beneficio,The new law will benefit everyone.,La nueva ley beneficiará a todos.,[sound:audio_example_benefit.mp3]
beverage,[sound:audio_beverage.mp3],bebida,She ordered a cold beverage.,Ella ordenó una bebida fría.,[sound:audio_example_beverage.mp3]
bid,[sound:audio_bid.mp3],licitación,He placed a bid at the auction.,Hizo una oferta en la subasta.,[sound:audio_example_bid.mp3]
bill,[sound:audio_bill.mp3],factura,Please settle the bill.,Acuerdo la factura.,[sound:audio_example_bill.mp3]
binder,[sound:audio_binder.mp3],aglutinante,She organized papers in a binder.,Ella organizó documentos en una carpeta.,[sound:audio_example_binder.mp3]
blanket,[sound:audio_blanket.mp3],frazada,Use a blanket to stay warm.,Use una manta para mantenerse caliente.,[sound:audio_example_blanket.mp3]
block,[sound:audio_block.mp3],bloquear,The roadblock delayed our trip.,El obstáculo retrasó nuestro viaje.,[sound:audio_example_block.mp3]
board,[sound:audio_board.mp3],junta,She will board the bus.,Ella abordará el autobús.,[sound:audio_example_board.mp3]
boarding pass,[sound:audio_boardingpass.mp3],pase de abordar,Don’t forget your boarding pass.,No olvides tu pase de embarque.,[sound:audio_example_boarding pass.mp3]
boardroom,[sound:audio_boardroom.mp3],sala del consejo,The boardroom is ready for the meeting.,La sala de juntas está lista para la reunión.,[sound:audio_example_boardroom.mp3]
boast,[sound:audio_boast.mp3],alarde,He likes to boast about his success.,Le gusta jactarse de su éxito.,[sound:audio_example_boast.mp3]
book,[sound:audio_book.mp3],libro,She is reading an interesting book.,Ella está leyendo un libro interesante.,[sound:audio_example_book.mp3]
boost,[sound:audio_boost.mp3],aumentar,A good review can boost sales.,Una buena revisión puede aumentar las ventas.,[sound:audio_example_boost.mp3]
bored,[sound:audio_bored.mp3],aburrido,He felt bored during the lecture.,Se sintió aburrido durante la conferencia.,[sound:audio_example_bored.mp3]
borrow,[sound:audio_borrow.mp3],pedir prestado,Can I borrow your pen?,¿Puedo pedirle prestada su pluma?,[sound:audio_example_borrow.mp3]
bother,[sound:audio_bother.mp3],molestar,Don’t let small things bother you.,No dejes que las pequeñas cosas te molesten.,[sound:audio_example_bother.mp3]
bottom line,[sound:audio_bottomline.mp3],final,The bottom line is what matters.,La conclusión es lo que importa.,[sound:audio_example_bottom line.mp3]
branch,[sound:audio_branch.mp3],rama,The bank has many branches.,El banco tiene muchas sucursales.,[sound:audio_example_branch.mp3]
brand,[sound:audio_brand.mp3],marca,This brand is very popular.,Esta marca es muy popular.,[sound:audio_example_brand.mp3]
briefcase,[sound:audio_briefcase.mp3],maletín,He carried a briefcase to the meeting.,Llevó un maletín a la reunión.,[sound:audio_example_briefcase.mp3]
briefing,[sound:audio_briefing.mp3],instrucciones,The briefing lasted ten minutes.,La sesión informativa duró diez minutos.,[sound:audio_example_briefing.mp3]
broadcast,[sound:audio_broadcast.mp3],transmisión,The event was broadcast live.,El evento fue transmitido en vivo.,[sound:audio_example_broadcast.mp3]
broaden,[sound:audio_broaden.mp3],ampliar,Travel will broaden your mind.,Viajar ampliará tu mente.,[sound:audio_example_broaden.mp3]
browser,[sound:audio_browser.mp3],navegador,Use a secure browser online.,Use un navegador seguro en línea.,[sound:audio_example_browser.mp3]
brush,[sound:audio_brush.mp3],cepillar,She will brush her hair.,Ella se cepillará su cabello.,[sound:audio_example_brush.mp3]
budget,[sound:audio_budget.mp3],presupuesto,Stick to your monthly budget.,Cíguete a tu presupuesto mensual.,[sound:audio_example_budget.mp3]
bulletin,[sound:audio_bulletin.mp3],boletín,A bulletin was posted on the wall.,Se publicó un boletín en la pared.,[sound:audio_example_bulletin.mp3]
cabin crew,[sound:audio_cabincrew.mp3],tripulación de cabina,The cabin crew helped the passengers.,La tripulación de cabina ayudó a los pasajeros.,[sound:audio_example_cabin crew.mp3]
cafeteria,[sound:audio_cafeteria.mp3],cafetería,Lunch is served in the cafeteria.,El almuerzo se sirve en la cafetería.,[sound:audio_example_cafeteria.mp3]
calculate,[sound:audio_calculate.mp3],calcular,Calculate the total cost.,Calcule el costo total.,[sound:audio_example_calculate.mp3]
calculation,[sound:audio_calculation.mp3],cálculo,The calculation is correct.,El cálculo es correcto.,[sound:audio_example_calculation.mp3]
calculator,[sound:audio_calculator.mp3],calculadora,She uses a calculator for math.,Ella usa una calculadora para matemáticas.,[sound:audio_example_calculator.mp3]
campaign,[sound:audio_campaign.mp3],campaña,They launched a new campaign.,Lanzaron una nueva campaña.,[sound:audio_example_campaign.mp3]
cancel,[sound:audio_cancel.mp3],Cancelar,They decided to cancel the event.,Decidieron cancelar el evento.,[sound:audio_example_cancel.mp3]
cancellation,[sound:audio_cancellation.mp3],cancelación,The cancellation was announced early.,La cancelación se anunció temprano.,[sound:audio_example_cancellation.mp3]
candidacy,[sound:audio_candidacy.mp3],candidatura,His candidacy is official.,Su candidatura es oficial.,[sound:audio_example_candidacy.mp3]
candidate,[sound:audio_candidate.mp3],candidato,Each candidate must register.,Cada candidato debe registrarse.,[sound:audio_example_candidate.mp3]
capacity,[sound:audio_capacity.mp3],capacidad,The room has a capacity of 50.,La habitación tiene una capacidad de 50.,[sound:audio_example_capacity.mp3]
capital,[sound:audio_capital.mp3],capital,They invested capital in the startup.,Inviertaron capital en la startup.,[sound:audio_example_capital.mp3]
career,[sound:audio_career.mp3],carrera,She is building a career in medicine.,Ella está construyendo una carrera en medicina.,[sound:audio_example_career.mp3]
careless,[sound:audio_careless.mp3],descuidado,Be careful; don't be careless.,Ten cuidado; No seas descuidado.,[sound:audio_example_careless.mp3]
cash,[sound:audio_cash.mp3],dinero,Pay with cash if possible.,Pagar con efectivo si es posible.,[sound:audio_example_cash.mp3]
cashier,[sound:audio_cashier.mp3],cajero,The cashier handled the sale.,El cajero manejó la venta.,[sound:audio_example_cashier.mp3]
cause,[sound:audio_cause.mp3],causa,This event supports a good cause.,Este evento respalda una buena causa.,[sound:audio_example_cause.mp3]
cautious,[sound:audio_cautious.mp3],cauteloso,He is cautious with his words.,Es cauteloso con sus palabras.,[sound:audio_example_cautious.mp3]
celebrate,[sound:audio_celebrate.mp3],celebrar,They will celebrate her birthday.,Celebrarán su cumpleaños.,[sound:audio_example_celebrate.mp3]
celebration,[sound:audio_celebration.mp3],celebración,The celebration was joyful.,La celebración fue alegre.,[sound:audio_example_celebration.mp3]
cell phone,[sound:audio_cellphone.mp3],Teléfono móvil,He forgot his cell phone.,Olvidó su teléfono celular.,[sound:audio_example_cell phone.mp3]
certificate,[sound:audio_certificate.mp3],certificado,She received a certificate.,Ella recibió un certificado.,[sound:audio_example_certificate.mp3]
certification,[sound:audio_certification.mp3],certificación,He earned a certification.,Obtuvo una certificación.,[sound:audio_example_certification.mp3]
chain,[sound:audio_chain.mp3],cadena,The chain is made of steel.,La cadena está hecha de acero.,[sound:audio_example_chain.mp3]
chain store,[sound:audio_chainstore.mp3],cadena,A chain store is on the corner.,Una cadena está en la esquina.,[sound:audio_example_chain store.mp3]
chair,[sound:audio_chair.mp3],silla,Please sit on the chair.,Por favor siéntate en la silla.,[sound:audio_example_chair.mp3]
chairman,[sound:audio_chairman.mp3],presidente,The chairman led the meeting.,El presidente dirigió la reunión.,[sound:audio_example_chairman.mp3]
chairperson,[sound:audio_chairperson.mp3],presidente,The chairperson welcomed everyone.,El presidente dio la bienvenida a todos.,[sound:audio_example_chairperson.mp3]
characteristic,[sound:audio_characteristic.mp3],característica,Honesty is a good characteristic.,La honestidad es una buena característica.,[sound:audio_example_characteristic.mp3]
characterize,[sound:audio_characterize.mp3],caracterizar,The teacher can characterize her style.,La maestra puede caracterizar su estilo.,[sound:audio_example_characterize.mp3]
charge,[sound:audio_charge.mp3],cargar,They will charge a small fee.,Cobrarán una pequeña tarifa.,[sound:audio_example_charge.mp3]
charity,[sound:audio_charity.mp3],caridad,She supports a local charity.,Ella apoya una organización benéfica local.,[sound:audio_example_charity.mp3]
cheap,[sound:audio_cheap.mp3],barato,This item is cheap.,Este artículo es barato.,[sound:audio_example_cheap.mp3]
check in,[sound:audio_checkin.mp3],registrarse,Check in at the front desk.,Visite en la recepción.,[sound:audio_example_check in.mp3]
check out,[sound:audio_checkout.mp3],verificar,Check out before noon.,Echa un vistazo antes del mediodía.,[sound:audio_example_check out.mp3]
chef,[sound:audio_chef.mp3],chef,The chef cooked a tasty meal.,El chef cocinó una sabrosa comida.,[sound:audio_example_chef.mp3]
circumstances,[sound:audio_circumstances.mp3],circunstancias,Circumstances changed quickly.,Las circunstancias cambiaron rápidamente.,[sound:audio_example_circumstances.mp3]
claim,[sound:audio_claim.mp3],afirmar,He will claim the prize.,Él reclamará el premio.,[sound:audio_example_claim.mp3]
claimant,[sound:audio_claimant.mp3],demandante,The claimant showed his ID.,El reclamante mostró su identificación.,[sound:audio_example_claimant.mp3]
classification,[sound:audio_classification.mp3],clasificación,The classification is simple.,La clasificación es simple.,[sound:audio_example_classification.mp3]
classify,[sound:audio_classify.mp3],clasificar,They classify items by type.,Clasifican elementos por tipo.,[sound:audio_example_classify.mp3]
clerk,[sound:audio_clerk.mp3],oficinista,The clerk helped with the forms.,El empleado ayudó con los formularios.,[sound:audio_example_clerk.mp3]
client,[sound:audio_client.mp3],cliente,The client approved the design.,El cliente aprobó el diseño.,[sound:audio_example_client.mp3]
climate,[sound:audio_climate.mp3],clima,The climate is mild here.,El clima es leve aquí.,[sound:audio_example_climate.mp3]
closure,[sound:audio_closure.mp3],cierre,The store announced its closure.,La tienda anunció su cierre.,[sound:audio_example_closure.mp3]
coach,[sound:audio_coach.mp3],entrenador,The coach motivated the team.,El entrenador motivó al equipo.,[sound:audio_example_coach.mp3]
code,[sound:audio_code.mp3],código,Write clean code.,Escribe código limpio.,[sound:audio_example_code.mp3]
collect,[sound:audio_collect.mp3],recolectar,They collect donations monthly.,Recolectan donaciones mensualmente.,[sound:audio_example_collect.mp3]
commence,[sound:audio_commence.mp3],comenzar,The meeting will commence soon.,La reunión comenzará pronto.,[sound:audio_example_commence.mp3]
commission,[sound:audio_commission.mp3],comisión,He earned a commission from sales.,Obtuvo una comisión de las ventas.,[sound:audio_example_commission.mp3]
commit,[sound:audio_commit.mp3],comprometerse,She commits to her tasks.,Ella se compromete con sus tareas.,[sound:audio_example_commit.mp3]
committee,[sound:audio_committee.mp3],comité,The committee meets every week.,El comité se reúne cada semana.,[sound:audio_example_committee.mp3]
common,[sound:audio_common.mp3],común,It is common to work hard.,Es común trabajar duro.,[sound:audio_example_common.mp3]
commonly,[sound:audio_commonly.mp3],comúnmente,She commonly walks to work.,Ella comúnmente camina al trabajo.,[sound:audio_example_commonly.mp3]
commute,[sound:audio_commute.mp3],desplazarse,She commutes to work every day.,Ella viaja al trabajo todos los días.,[sound:audio_example_commute.mp3]
commuter,[sound:audio_commuter.mp3],viajero diario al trabajo,The commuter takes the train daily.,El viajero toma el tren a diario.,[sound:audio_example_commuter.mp3]
company,[sound:audio_company.mp3],compañía,She works at a respected company.,Ella trabaja en una empresa respetada.,[sound:audio_example_company.mp3]
comparable,[sound:audio_comparable.mp3],comparable,Their features are comparable.,Sus características son comparables.,[sound:audio_example_comparable.mp3]
compare,[sound:audio_compare.mp3],comparar,She compares prices before buying.,Ella compara los precios antes de comprar.,[sound:audio_example_compare.mp3]
compatible,[sound:audio_compatible.mp3],compatible,The software is compatible with many devices.,El software es compatible con muchos dispositivos.,[sound:audio_example_compatible.mp3]
compensate,[sound:audio_compensate.mp3],compensar,The company compensates for overtime.,La compañía compensa las horas extras.,[sound:audio_example_compensate.mp3]
compensation,[sound:audio_compensation.mp3],compensación,He received compensation for his work.,Recibió una compensación por su trabajo.,[sound:audio_example_compensation.mp3]
